id,category,classification,diagnostic,evidence,original_sha256,next_action
C088,native_schema_rejection,Inferred from recorded native diagnostic,"failed to read topology file: yaml: unmarshal errors:
  line 8: field publish not found in type types.NodeDefinitionWithDeprecatedFields
Consult with release notes to see if any fields were changed/removed",artifacts/qualification/static/C088.json,b2e1a58db41432e5d31cb610521498e72bc1b3b0431b404b0104820f346cc4b5,Retain original; inspect syntax/version and separate correction
C112,missing_kind_context,Inferred from recorded native diagnostic,"constructing node ""node1"": kind """" is not supported. Supported kinds are ""6wind_vsr, arista_ceos, arista_veos, arrcus_arcos, aruba_aoscx, bridge, c8000, ceos, checkpoint_cloudguard, ciena_saos, cisco_asav, cisco_c8000, cisco_c8000v, cisco_cat9kv, cisco_csr1000v, cisco_ftdv, cisco_iol, cisco_n9kv, cisco_sdwan, cisco_vios, cisco_xrd, cisco_xrd_vrouter, cisco_xrv, cisco_xrv9k, cjunosevolved, crpd, cumulus_cvx, cvx, dell_ftosv, dell_sonic, ext-container, f5_bigip-ve, fdio_vpp, fortinet_fortigate, freebsd, generic_vm, host, huawei_vrp, ipinfusion_ocnos, juniper_cjunosevolved, juniper_crpd, juniper_",artifacts/qualification/static/C112.json,e7580dffcab8ffe712dc9ceb04e740b4f6fed73b0ff10716355d2db1bc5aaaf1,Identify documented kind/default input; do not guess
C113,missing_kind_context,Inferred from recorded native diagnostic,"constructing node ""node1"": kind """" is not supported. Supported kinds are ""6wind_vsr, arista_ceos, arista_veos, arrcus_arcos, aruba_aoscx, bridge, c8000, ceos, checkpoint_cloudguard, ciena_saos, cisco_asav, cisco_c8000, cisco_c8000v, cisco_cat9kv, cisco_csr1000v, cisco_ftdv, cisco_iol, cisco_n9kv, cisco_sdwan, cisco_vios, cisco_xrd, cisco_xrd_vrouter, cisco_xrv, cisco_xrv9k, cjunosevolved, crpd, cumulus_cvx, cvx, dell_ftosv, dell_sonic, ext-container, f5_bigip-ve, fdio_vpp, fortinet_fortigate, freebsd, generic_vm, host, huawei_vrp, ipinfusion_ocnos, juniper_cjunosevolved, juniper_crpd, juniper_",artifacts/qualification/static/C113.json,6d0055c6a9295a3ca6c9dd1e1fd67f96f475377f3fe85b5a64493a9c69e1140c,Identify documented kind/default input; do not guess
C140,missing_kind_context,Inferred from recorded native diagnostic,"constructing node ""node1"": kind """" is not supported. Supported kinds are ""6wind_vsr, arista_ceos, arista_veos, arrcus_arcos, aruba_aoscx, bridge, c8000, ceos, checkpoint_cloudguard, ciena_saos, cisco_asav, cisco_c8000, cisco_c8000v, cisco_cat9kv, cisco_csr1000v, cisco_ftdv, cisco_iol, cisco_n9kv, cisco_sdwan, cisco_vios, cisco_xrd, cisco_xrd_vrouter, cisco_xrv, cisco_xrv9k, cjunosevolved, crpd, cumulus_cvx, cvx, dell_ftosv, dell_sonic, ext-container, f5_bigip-ve, fdio_vpp, fortinet_fortigate, freebsd, generic_vm, host, huawei_vrp, ipinfusion_ocnos, juniper_cjunosevolved, juniper_crpd, juniper_",artifacts/qualification/static/C140.json,efed48ecd47118d74ce776ae19d66119bf9c87adc42e2714576e6ba233b4795b,Identify documented kind/default input; do not guess
C141,missing_kind_context,Inferred from recorded native diagnostic,"constructing node ""node1"": kind """" is not supported. Supported kinds are ""6wind_vsr, arista_ceos, arista_veos, arrcus_arcos, aruba_aoscx, bridge, c8000, ceos, checkpoint_cloudguard, ciena_saos, cisco_asav, cisco_c8000, cisco_c8000v, cisco_cat9kv, cisco_csr1000v, cisco_ftdv, cisco_iol, cisco_n9kv, cisco_sdwan, cisco_vios, cisco_xrd, cisco_xrd_vrouter, cisco_xrv, cisco_xrv9k, cjunosevolved, crpd, cumulus_cvx, cvx, dell_ftosv, dell_sonic, ext-container, f5_bigip-ve, fdio_vpp, fortinet_fortigate, freebsd, generic_vm, host, huawei_vrp, ipinfusion_ocnos, juniper_cjunosevolved, juniper_crpd, juniper_",artifacts/qualification/static/C141.json,36e30648396bc9324c4dabb039b7773cfa78d69ad1f1d0a66788c177a2ae7c32,Identify documented kind/default input; do not guess
C150,missing_kind_context,Inferred from recorded native diagnostic,"constructing node ""node1"": kind """" is not supported. Supported kinds are ""6wind_vsr, arista_ceos, arista_veos, arrcus_arcos, aruba_aoscx, bridge, c8000, ceos, checkpoint_cloudguard, ciena_saos, cisco_asav, cisco_c8000, cisco_c8000v, cisco_cat9kv, cisco_csr1000v, cisco_ftdv, cisco_iol, cisco_n9kv, cisco_sdwan, cisco_vios, cisco_xrd, cisco_xrd_vrouter, cisco_xrv, cisco_xrv9k, cjunosevolved, crpd, cumulus_cvx, cvx, dell_ftosv, dell_sonic, ext-container, f5_bigip-ve, fdio_vpp, fortinet_fortigate, freebsd, generic_vm, host, huawei_vrp, ipinfusion_ocnos, juniper_cjunosevolved, juniper_crpd, juniper_",artifacts/qualification/static/C150.json,5d376d802fb5fb7eaecc14809bbc592bf6697d38f22e84374dc9b1afa255a894,Identify documented kind/default input; do not guess
C155,missing_kind_context,Inferred from recorded native diagnostic,"constructing node ""node1"": kind """" is not supported. Supported kinds are ""6wind_vsr, arista_ceos, arista_veos, arrcus_arcos, aruba_aoscx, bridge, c8000, ceos, checkpoint_cloudguard, ciena_saos, cisco_asav, cisco_c8000, cisco_c8000v, cisco_cat9kv, cisco_csr1000v, cisco_ftdv, cisco_iol, cisco_n9kv, cisco_sdwan, cisco_vios, cisco_xrd, cisco_xrd_vrouter, cisco_xrv, cisco_xrv9k, cjunosevolved, crpd, cumulus_cvx, cvx, dell_ftosv, dell_sonic, ext-container, f5_bigip-ve, fdio_vpp, fortinet_fortigate, freebsd, generic_vm, host, huawei_vrp, ipinfusion_ocnos, juniper_cjunosevolved, juniper_crpd, juniper_",artifacts/qualification/static/C155.json,d56e06e185bd75d5227d56420f8ae8f4183cba962158045918873377979b900d,Identify documented kind/default input; do not guess
C159,missing_kind_context,Inferred from recorded native diagnostic,"constructing node ""node1"": kind """" is not supported. Supported kinds are ""6wind_vsr, arista_ceos, arista_veos, arrcus_arcos, aruba_aoscx, bridge, c8000, ceos, checkpoint_cloudguard, ciena_saos, cisco_asav, cisco_c8000, cisco_c8000v, cisco_cat9kv, cisco_csr1000v, cisco_ftdv, cisco_iol, cisco_n9kv, cisco_sdwan, cisco_vios, cisco_xrd, cisco_xrd_vrouter, cisco_xrv, cisco_xrv9k, cjunosevolved, crpd, cumulus_cvx, cvx, dell_ftosv, dell_sonic, ext-container, f5_bigip-ve, fdio_vpp, fortinet_fortigate, freebsd, generic_vm, host, huawei_vrp, ipinfusion_ocnos, juniper_cjunosevolved, juniper_crpd, juniper_",artifacts/qualification/static/C159.json,658655c1d554f393c62850fb35b30ae8a44dc27dc986e3aa7a9f996b1840e0d9,Identify documented kind/default input; do not guess
C162,documentation_macro_context,Inferred from recorded native diagnostic,"failed to read topology file: template: C162.clab.yml:5: function ""kind_code_name"" not defined",artifacts/qualification/static/C162.json,f81e3fb790e26d223df251e10b8a36563af5f2eefbd85ffa2c142f2c4c3df59b,Review pinned frontmatter derivative; native validation NOT_RUN
C163,documentation_macro_context,Inferred from recorded native diagnostic,"failed to read topology file: template: C163.clab.yml:5: function ""kind_code_name"" not defined",artifacts/qualification/static/C163.json,ec6a1d7cbd401ed13ab573d51c801ab2d1bf57ac09b777fceaad80f74abbf728,Review pinned frontmatter derivative; native validation NOT_RUN
